rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
97,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,15,15,408,408,393,393,snapshot_2026_08_13.json,snapshot_2026_08_06.json
98,pierreggt/subway-builder-lille,subway-builder-lille,pierreggt,pierreggt,https://github.com/pierreggt,1,15,15,123,123,108,108,snapshot_2026_08_13.json,snapshot_2026_08_06.json
99,pierreggt/subway-builder-rennes,subway-builder-rennes,pierreggt,pierreggt,https://github.com/pierreggt,1,14,14,103,103,89,89,snapshot_2026_08_13.json,snapshot_2026_08_06.json
100,pierreggt/subway-builder-ankara,subway-builder-ankara,pierreggt,pierreggt,https://github.com/pierreggt,1,14,14,91,91,77,77,snapshot_2026_08_13.json,snapshot_2026_08_06.json
101,pierreggt/subway-builder-antalya,subway-builder-antalya,pierreggt,pierreggt,https://github.com/pierreggt,1,14,14,59,59,45,45,snapshot_2026_08_13.json,snapshot_2026_08_06.json
102,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,13,13,283,283,270,270,snapshot_2026_08_13.json,snapshot_2026_08_06.json
103,pierreggt/subway-builder-strasbourg,subway-builder-strasbourg,pierreggt,pierreggt,https://github.com/pierreggt,1,13,13,128,128,115,115,snapshot_2026_08_13.json,snapshot_2026_08_06.json
104,hernang87/amba-buenos-aires-metropolitan-area-for-subway-builder,AMBA-Buenos-Aires-Metropolitan-Area-for-Subway-Builder,hernang87,hernang87,https://github.com/hernang87,1,13,13,104,104,91,91,snapshot_2026_08_13.json,snapshot_2026_08_06.json
105,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,11,11,592,592,581,581,snapshot_2026_08_13.json,snapshot_2026_08_06.json
106,seanyushoumori/copy-paste,copy-paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,11,11,173,173,162,162,snapshot_2026_08_13.json,snapshot_2026_08_06.json
107,pierreggt/subway-builder-nantes,subway-builder-nantes,pierreggt,pierreggt,https://github.com/pierreggt,1,11,11,86,86,75,75,snapshot_2026_08_13.json,snapshot_2026_08_06.json
108,rslurry/subwaybuilder-pauseonstart,subwaybuilder-pauseOnStart,rslurry,slurry,https://github.com/rslurry,1,10,10,219,219,209,209,snapshot_2026_08_13.json,snapshot_2026_08_06.json
109,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,9,9,1009,1009,1000,1000,snapshot_2026_08_13.json,snapshot_2026_08_06.json
110,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,9,9,417,417,408,408,snapshot_2026_08_13.json,snapshot_2026_08_06.json
111,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,9,9,203,203,194,194,snapshot_2026_08_13.json,snapshot_2026_08_06.json
112,pierreggt/subway-builder-toulouse,subway-builder-toulouse,pierreggt,pierreggt,https://github.com/pierreggt,1,9,9,99,99,90,90,snapshot_2026_08_13.json,snapshot_2026_08_06.json
113,giannons46/sofia-subway-builder-map,sofia-subway-builder-map,giannons46,giannons46,https://github.com/giannons46,1,8,8,124,124,116,116,snapshot_2026_08_13.json,snapshot_2026_08_06.json
114,nzh0172/sb-hideandseek,sb-hideandseek,nzh0172,naz,https://github.com/nzh0172,1,8,8,110,110,102,102,snapshot_2026_08_13.json,snapshot_2026_08_06.json
115,crumpetime/sb-maps-rsw,sb-maps-rsw,crumpetime,muffintime,https://github.com/crumpetime,1,8,8,61,61,53,53,snapshot_2026_08_13.json,snapshot_2026_08_06.json
116,pierreggt/subway-builder-nice,subway-builder-nice,pierreggt,pierreggt,https://github.com/pierreggt,1,7,7,172,172,165,165,snapshot_2026_08_13.json,snapshot_2026_08_06.json
117,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,6,6,372,372,366,366,snapshot_2026_08_13.json,snapshot_2026_08_06.json
118,pierreggt/subway-builder-bordeaux,subway-builder-bordeaux,pierreggt,pierreggt,https://github.com/pierreggt,1,5,5,199,199,194,194,snapshot_2026_08_13.json,snapshot_2026_08_06.json
119,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,4,4,305,305,301,301,snapshot_2026_08_13.json,snapshot_2026_08_06.json
120,pierreggt/subway-builder-montpellier,subway-builder-montpellier,pierreggt,pierreggt,https://github.com/pierreggt,1,4,4,102,102,98,98,snapshot_2026_08_13.json,snapshot_2026_08_06.json
121,matematysek/prospector,Prospector,matematysek,matematysek,https://github.com/matematysek,1,2,23,23,23,21,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
122,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,1,373,373,372,372,snapshot_2026_08_13.json,snapshot_2026_08_06.json
123,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,0,2433,2433,2433,2433,snapshot_2026_08_13.json,snapshot_2026_08_06.json
124,imb11/move-it,move-it,IMB11,IMB11,https://github.com/IMB11,1,0,0,1255,1255,1255,1255,snapshot_2026_08_13.json,snapshot_2026_08_06.json
125,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,152,152,152,152,snapshot_2026_08_13.json,snapshot_2026_08_06.json
126,imb11/subwaycine,SubwayCine,IMB11,IMB11,https://github.com/IMB11,1,0,0,33,33,33,33,snapshot_2026_08_13.json,snapshot_2026_08_06.json
127,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,0,0,0,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
128,subway-builder-modded/registry,registry,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,0,0,0,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
