rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
22,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,101,101,407,407,306,306,snapshot_2026_04_03.json,snapshot_2026_03_27.json
23,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,100,100,491,491,391,391,snapshot_2026_04_03.json,snapshot_2026_03_27.json
24,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,97,97,97,97,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
25,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,96,96,96,96,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
26,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,89,89,266,266,177,177,snapshot_2026_04_03.json,snapshot_2026_03_27.json
27,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,88,88,186,186,98,98,snapshot_2026_04_03.json,snapshot_2026_03_27.json
28,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://github.com/ahkimn,71,71,191,191,120,120,snapshot_2026_04_03.json,snapshot_2026_03_27.json
29,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,68,68,168,168,100,100,snapshot_2026_04_03.json,snapshot_2026_03_27.json
30,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,67,67,179,179,112,112,snapshot_2026_04_03.json,snapshot_2026_03_27.json
31,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,61,61,106,106,45,45,snapshot_2026_04_03.json,snapshot_2026_03_27.json
32,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,59,59,95,95,36,36,snapshot_2026_04_03.json,snapshot_2026_03_27.json
33,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://github.com/ahkimn,56,56,140,140,84,84,snapshot_2026_04_03.json,snapshot_2026_03_27.json
34,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,53,53,53,53,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
35,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://github.com/ahkimn,49,49,166,166,117,117,snapshot_2026_04_03.json,snapshot_2026_03_27.json
36,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,49,31,115,97,66,66,snapshot_2026_04_03.json,snapshot_2026_03_27.json
37,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,49,31,109,91,60,60,snapshot_2026_04_03.json,snapshot_2026_03_27.json
38,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,48,29,126,107,78,78,snapshot_2026_04_03.json,snapshot_2026_03_27.json
39,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,47,47,75,75,28,28,snapshot_2026_04_03.json,snapshot_2026_03_27.json
40,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,46,46,228,228,182,182,snapshot_2026_04_03.json,snapshot_2026_03_27.json
41,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://github.com/ahkimn,46,46,126,126,80,80,snapshot_2026_04_03.json,snapshot_2026_03_27.json
42,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,44,23,96,75,52,52,snapshot_2026_04_03.json,snapshot_2026_03_27.json
43,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,43,43,145,145,102,102,snapshot_2026_04_03.json,snapshot_2026_03_27.json
