rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
74,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,ESBI,ES,627288,4933,2981,971,3.06,0.194,0.236,0.151,0.169,0.171,1,1788,275,719.24,89.6,213,1527.8,42.22,12803.9,16388.04,3,0.68
75,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,FIR,IT,626808,8434,3697,838,4.39,0.187,0.211,0.141,0.168,0.163,1,1095,429,831.03,89.86,157,1487.49,50.12,6740.2,9507.97,4,0.4
76,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,RTM,NL,613773,6740,854,449,1.88,0.413,0.593,0.389,0.606,0.401,0.72,868,3509,5289.11,100,1216,2655.2,99.11,15579,15561.19,2,0.81
77,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FKS,JP,589089,14426,6311,1926,3.27,0.215,0.246,0.185,0.215,0.199,0.98,2405,110,338.11,90.45,127,463.33,65.99,6768,10644.81,2,0.46
78,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,PAL,IT,566901,8946,3264,580,5.62,0.179,0.189,0.164,0.164,0.171,0.92,769,432,1118.85,87.24,207,1557.21,62.76,9648.4,13010.82,1,0.31
79,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TAK,JP,564954,13135,5224,1231,4.24,0.23,0.249,0.196,0.226,0.212,0.87,1394,272,497.86,92.12,206,552.22,83.1,6861,10101.58,3,0.51
80,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KOJ,JP,542021,10719,3562,907,3.92,0.202,0.22,0.171,0.207,0.186,0.97,1307,165,715.48,83.46,176,745.22,80.15,6314,10515.61,1,0.25
81,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,SDF,US,530833,48045,3488,2927,1.19,0.604,0.751,0.466,0.533,0.53,0.3,8971,52,194.94,93.03,38,257.36,70.45,26048,30657.83,1,0.43
82,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,CAT,IT,530181,7992,3552,616,5.73,0.187,0.195,0.149,0.166,0.167,0.92,780,551,945.3,90.58,224,1526.59,56.33,7536.1,10017.8,1,0.36
83,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,YWG,CA,502477,4154,2137,751,2.83,0.307,0.336,0.326,0.438,0.317,0.74,936,728,844.39,79.09,362,809.92,82.56,8246,9137.55,2,0.11
84,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,YQB,CA,497019,4131,2176,855,2.54,0.308,0.395,0.321,0.425,0.314,0.79,1139,431,634.83,91.23,368,802.61,72.16,10565,13842.27,1,0.22
85,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,SBA,US,475304,30058,1431,1102,1.29,0.493,0.553,0.414,0.495,0.452,0.53,2749,86,600.89,71.78,208,632.89,68.15,23109,38818.22,3,0.67
86,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,JER,IL,473200,2366,650,265,2.43,0.44,0.515,0.307,0.395,0.367,0.69,476,1600,2080.72,84.15,800,2153,81.89,9584,14677.28,1,0.84
87,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NGS,JP,467566,14369,5003,937,5.33,0.149,0.174,0.133,0.166,0.141,1,1198,160,548.44,90.93,171,663.04,75.24,6625,10378.7,2,0.39
88,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,GEN,IT,456057,6547,1881,439,4.26,0.181,0.19,0.152,0.14,0.166,1,651,441,1315.12,78.82,162,1518.57,68.34,6416,9853.07,1,0.29
89,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,BOL,IT,454179,5584,2714,700,3.87,0.19,0.212,0.162,0.178,0.175,1,915,362,820.46,79,149,1137.06,57,7458.4,10185.21,2,0.27
90,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,RIC,US,452742,63651,1780,1454,1.22,0.787,0.847,0.493,0.568,0.623,0.36,3484,179,318.97,97.59,93,357.53,87,23232,25646.25,2,0.53
91,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,WGH,US,452333,49019,2580,2180,1.17,0.823,0.927,0.517,0.601,0.653,0.26,6160,125,209.25,99.13,57,229.99,90.18,26325,30393.27,5,0.89
92,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,YKF,CA,437817,3001,881,410,2.13,0.371,0.53,0.48,0.742,0.422,0.63,582,906,1071.89,99.02,402,1438.7,73.66,6279,8967.96,3,0.41
93,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,IZO,JP,432069,15037,6375,1624,3.92,0.185,0.214,0.17,0.191,0.178,1,2220,99,287.32,92.55,121,414.11,64.22,6532,10692.58,3,0.57
94,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,AKR,US,421326,45142,2292,1924,1.19,0.754,0.851,0.575,0.655,0.658,0.32,4616,134,221.16,99.01,94,230.39,95.01,23883,27573.92,2,0.88
95,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,AOJ,JP,408381,14711,6241,1293,4.82,0.167,0.177,0.142,0.18,0.154,1,1654,140,355.2,88.86,113,427.96,73.78,5815,10179.45,2,0.45
96,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,MYJ,JP,378465,11132,3231,504,6.39,0.154,0.173,0.132,0.158,0.143,0.98,673,237,806.53,93.06,322,967.59,77.58,5297,7132.7,1,0.07
97,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,ALB,US,328703,26823,1694,1381,1.21,0.62,0.732,0.467,0.527,0.538,0.39,3716,108,241.62,98.48,58,277.02,85.81,22113,24432.76,2,0.45
98,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,MSN,US,327350,48129,2101,1814,1.15,0.603,0.696,0.425,0.509,0.507,0.24,5894,31,187.94,95.92,37,249.55,72.22,24817,28740.04,1,0.42
99,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CHS,US,323867,19301,1185,900,1.3,0.624,0.69,0.557,0.611,0.59,0.37,2340,221,395.41,91,135,434.99,82.67,21011,22641.51,2,0.81
100,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,KNOX,US,323445,45836,1520,1278,1.18,0.874,0.944,0.507,0.659,0.666,0.28,3368,152,258.89,97.73,62,292.98,85.68,25746,27852.71,3,0.56
101,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,GAJ,JP,323354,11161,4254,833,5.1,0.175,0.181,0.147,0.177,0.16,0.98,1017,165,433.82,89.44,180,556.5,69.75,5890,8373.87,1,0.33
102,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KCZ,JP,304853,9664,3461,705,4.9,0.16,0.189,0.135,0.169,0.147,1,891,129,468.08,92.34,147,618.14,69.93,5808,8257.72,1,0.22
